Format Version,1.1,Take Name,Take 2017-10-25 05.35.02 PM,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2017-10-25 05.35.02.037 PM,Total Frames,431,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,-0.109690,0.755003,0.302313,0.571442,-0.108841,1.145523,-0.998555,0.001742,-0.104581,1.167142,-1.071684,0.000000,-0.073677,1.145122,-0.963420,0.512340,-0.148265,1.124304,-0.960562,0.449751,-0.104392,1.168135,-1.073888,-0.073746,1.144964,-0.963243,-0.148476,1.124321,-0.960190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.170000,-0.109622,0.755055,0.301411,0.571862,-0.108992,1.145589,-0.998397,0.001740,-0.104648,1.167113,-1.071549,0.000000,-0.073855,1.145182,-0.963235,0.511433,-0.148474,1.124472,-0.960406,0.453598,-0.104440,1.168132,-1.073787,-0.073814,1.145049,-0.963104,-0.148537,1.124409,-0.960071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.180000,-0.109330,0.755621,0.301166,0.571299,-0.109110,1.145601,-0.998224,0.001759,-0.104874,1.167086,-1.071394,0.000000,-0.073916,1.145194,-0.963119,0.515412,-0.148541,1.124523,-0.960158,0.448570,-0.104488,1.168147,-1.073696,-0.073866,1.145114,-0.963001,-0.148592,1.124479,-0.959904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.190000,-0.109599,0.754997,0.301258,0.572024,-0.109032,1.145548,-0.998158,0.001754,-0.104658,1.167060,-1.071312,0.000000,-0.073907,1.145136,-0.962985,0.521323,-0.148533,1.124448,-0.960177,0.464611,-0.104529,1.168253,-1.073606,-0.073937,1.145196,-0.962858,-0.148607,1.124560,-0.959818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.200000,-0.109770,0.754993,0.301571,0.571832,-0.109059,1.145680,-0.998063,0.001753,-0.104719,1.167213,-1.071213,0.000000,-0.073925,1.145285,-0.962899,0.518016,-0.148535,1.124542,-0.960077,0.461763,-0.104586,1.168326,-1.073485,-0.073950,1.145208,-0.962770,-0.148648,1.124618,-0.959709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.210000,-0.107678,0.754883,0.300952,0.572701,-0.109009,1.145787,-0.997909,0.001730,-0.104551,1.167427,-1.071020,0.000000,-0.073887,1.145179,-0.962735,0.521398,-0.148588,1.124757,-0.959972,0.467236,-0.104663,1.168481,-1.073341,-0.073963,1.145275,-0.962679,-0.148650,1.124740,-0.959581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.220000,-0.109795,0.755174,0.302025,0.571348,-0.109321,1.146005,-0.997793,0.001746,-0.105073,1.167574,-1.070937,0.000000,-0.074150,1.145623,-0.962664,0.517898,-0.148740,1.124818,-0.959776,0.464095,-0.104683,1.168563,-1.073192,-0.074012,1.145427,-0.962490,-0.148712,1.124869,-0.959412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.230000,-0.111453,0.754853,0.300534,0.572237,-0.109188,1.146018,-0.997546,0.001734,-0.104725,1.167313,-1.070758,0.000000,-0.074124,1.145779,-0.962310,0.521642,-0.148716,1.124960,-0.959570,0.472110,-0.104724,1.168611,-1.073015,-0.074132,1.145602,-0.962258,-0.148753,1.124986,-0.959227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.240000,-0.111498,0.754904,0.300766,0.572038,-0.109343,1.146157,-0.997289,0.001718,-0.104918,1.167470,-1.070498,0.000000,-0.074265,1.145926,-0.962066,0.525316,-0.148847,1.125074,-0.959302,0.474019,-0.104701,1.168753,-1.072779,-0.074196,1.145781,-0.962011,-0.148829,1.125134,-0.959041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.250000,-0.110389,0.754687,0.300821,0.572510,-0.109291,1.146228,-0.997119,0.001714,-0.104805,1.167649,-1.070293,0.000000,-0.074224,1.145877,-0.961887,0.524755,-0.148845,1.125157,-0.959177,0.473557,-0.104707,1.168812,-1.072546,-0.074264,1.145904,-0.961755,-0.148866,1.125160,-0.958843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.260000,-0.108527,0.756625,0.299287,0.571111,-0.109666,1.146497,-0.996602,0.001898,-0.105466,1.167780,-1.069834,0.000000,-0.074421,1.146059,-0.961549,0.519794,-0.149112,1.125654,-0.958424,0.400231,-0.104694,1.168949,-1.072235,-0.074300,1.145965,-0.961475,-0.149205,1.125541,-0.958160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.270000,-0.110464,0.754505,0.302654,0.571770,-0.109245,1.146269,-0.996525,0.001716,-0.104910,1.167894,-1.069648,0.000000,-0.074131,1.145920,-0.961338,0.536142,-0.148693,1.124992,-0.958588,0.463018,-0.104672,1.169012,-1.071911,-0.074282,1.145881,-0.961207,-0.148873,1.125079,-0.958263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.280000,-0.111198,0.754705,0.301452,0.571998,-0.109358,1.146235,-0.996349,0.001741,-0.104953,1.167660,-1.069527,0.000000,-0.074274,1.145967,-0.961133,0.525446,-0.148847,1.125080,-0.958387,0.457590,-0.104635,1.169074,-1.071543,-0.074256,1.145751,-0.960846,-0.148902,1.124980,-0.957978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.290000,-0.110151,0.753496,0.301490,0.573772,-0.109178,1.146190,-0.995813,0.001708,-0.104472,1.167777,-1.068924,0.000000,-0.074215,1.145755,-0.960478,0.527309,-0.148846,1.125036,-0.958038,0.465330,-0.104518,1.169112,-1.071108,-0.074257,1.145635,-0.960431,-0.148886,1.124876,-0.957699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.300000,-0.108668,0.753212,0.302791,0.573742,-0.109150,1.146065,-0.995358,0.001695,-0.104496,1.167929,-1.068391,0.000000,-0.074156,1.145472,-0.960057,0.523700,-0.148798,1.124794,-0.957628,0.473338,-0.104359,1.169053,-1.070619,-0.074253,1.145465,-0.959906,-0.148868,1.124734,-0.957349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.310000,-0.109725,0.752589,0.303744,0.573856,-0.109151,1.145978,-0.994879,0.001730,-0.104461,1.167901,-1.067891,0.000000,-0.074202,1.145460,-0.959532,0.518826,-0.148790,1.124574,-0.957215,0.466258,-0.104119,1.169037,-1.070138,-0.074215,1.145318,-0.959367,-0.148810,1.124616,-0.956928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.320000,-0.109247,0.751878,0.303294,0.575115,-0.108854,1.145835,-0.994366,0.001775,-0.103939,1.167792,-1.067353,0.000000,-0.073996,1.145232,-0.958931,0.499615,-0.148627,1.124483,-0.956814,0.455144,-0.103866,1.168986,-1.069637,-0.074137,1.145099,-0.958804,-0.148668,1.124446,-0.956508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.330000,-0.109780,0.751514,0.302080,0.576127,-0.108672,1.145369,-0.993735,0.001825,-0.103548,1.167174,-1.066754,0.000000,-0.073903,1.144797,-0.958211,0.494436,-0.148564,1.124136,-0.956241,0.450638,-0.103532,1.168884,-1.069051,-0.073974,1.144855,-0.958140,-0.148479,1.124200,-0.955965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.340000,-0.108260,0.750184,0.303932,0.577173,-0.108284,1.145373,-0.993158,0.001832,-0.103019,1.167581,-1.066045,0.000000,-0.073579,1.144586,-0.957576,0.493275,-0.148253,1.123952,-0.955854,0.453039,-0.103040,1.168806,-1.068348,-0.073762,1.144544,-0.957392,-0.148285,1.123924,-0.955457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.350000,-0.106748,0.748956,0.304154,0.578930,-0.108176,1.145105,-0.992261,0.001875,-0.102624,1.167532,-1.065059,0.000000,-0.073584,1.144106,-0.956574,0.535498,-0.148321,1.123677,-0.955149,0.453102,-0.102364,1.168749,-1.067487,-0.073631,1.144003,-0.956498,-0.148442,1.123757,-0.954698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.360000,-0.104716,0.746848,0.306739,0.580659,-0.107930,1.144791,-0.991584,0.001832,-0.102127,1.167787,-1.064185,0.000000,-0.073454,1.143488,-0.955794,0.522480,-0.148208,1.123098,-0.954772,0.429911,-0.101627,1.168879,-1.066450,-0.073353,1.143329,-0.955663,-0.148278,1.123101,-0.954323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.370000,-0.103888,0.744187,0.308958,0.583041,-0.107481,1.144427,-0.990753,0.001820,-0.101277,1.167889,-1.063172,0.000000,-0.073209,1.142909,-0.954778,0.512738,-0.147958,1.122482,-0.954311,0.433258,-0.100811,1.168963,-1.065413,-0.073042,1.142745,-0.954643,-0.147974,1.122453,-0.953877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.380000,-0.106019,0.741082,0.312174,0.584897,-0.106528,1.143785,-0.989974,0.001725,-0.099967,1.167622,-1.062239,0.000000,-0.072500,1.142320,-0.953766,0.501799,-0.147117,1.121413,-0.953919,0.471936,-0.099851,1.168784,-1.064454,-0.072594,1.142305,-0.953587,-0.147168,1.121493,-0.953592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.390000,-0.107172,0.739416,0.311911,0.586932,-0.105716,1.143597,-0.989196,0.001702,-0.098752,1.167418,-1.061428,0.000000,-0.071896,1.142158,-0.952792,0.509683,-0.146501,1.121215,-0.953368,0.489742,-0.098685,1.168480,-1.063602,-0.071919,1.142064,-0.952575,-0.146546,1.121189,-0.953005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.400000,-0.107882,0.740016,0.309556,0.587292,-0.105041,1.143290,-0.988347,0.001789,-0.097972,1.166763,-1.060683,0.000000,-0.071252,1.141950,-0.951910,0.532593,-0.145900,1.121158,-0.952448,0.433277,-0.097288,1.167923,-1.062920,-0.071105,1.141763,-0.951825,-0.145911,1.121196,-0.952066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
